[child0:4739] [0] ioctl(fd=259, cmd=0x40100939, arg=0xc0008000) = -1 (Bad address)
[child0:4739] [1] ioctl(fd=259, cmd=0x40100939, arg=0xc0008000) = -1 (Bad address)
[child0:4739] [2] ioctl(fd=259, cmd=0x40040914, arg=0xb655e000) = -1 (Invalid argument)
[child0:4739] [3] ioctl(fd=259, cmd=0x40140931, arg=0xc0008000) = -1 (Bad address)
[child0:4739] [4] ioctl(fd=259, cmd=0x40140937, arg=0xc0008000) = -1 (Bad address)
[child0:4739] [5] ioctl(fd=259, cmd=0x800c0912, arg=0xc0008000) = -1 (Bad address)
[child0:4739] [6] ioctl(fd=259, cmd=0x40040914, arg=0x0) = -1 (Bad address)
[child0:4739] [7] ioctl(fd=259, cmd=0xc0280936, arg=0xb6b5e000) = -1 (Invalid argument)
[child0:4739] [8] ioctl(fd=259, cmd=0x40040921, arg=0xb6e62000) = -1 (Invalid argument)
[child0:4739] [9] ioctl(fd=259, cmd=0xc0080911, arg=0xab2a2a2a) = -1 (Bad address)
[child0:4739] [10] ioctl(fd=259, cmd=0x40040924, arg=0xffff8000) = -1 (Bad address)
[child0:4739] [11] ioctl(fd=259, cmd=0xc00c0916, arg=0xffffffff) = -1 (Bad address)
[child0:4739] [12] ioctl(fd=259, cmd=0xc0080911, arg=0xe387ecc8) = -1 (Bad address)
[child0:4739] [13] ioctl(fd=259, cmd=0xc0080913, arg=0xc0008000) = -1 (Bad address)
[child0:4739] [14] ioctl(fd=259, cmd=0x400c092e, arg=0xb695e000) = -1 (Not a typewriter)
[child0:4739] [15] ioctl(fd=259, cmd=0xc01c0915, arg=0xdcfd6ffc) = -1 (Bad address)
[child0:4739] [16] ioctl(fd=259, cmd=0x400c0932, arg=0xc2fbfed5) = -1 (Bad address)
[child0:4739] [17] ioctl(fd=259, cmd=0xc0140938, arg=0xc0008000) = -1 (Bad address)
[child0:4739] [18] ioctl(fd=259, cmd=0xc00c0916, arg=0xb6e5e000) = -1 (Invalid argument)
[child0:4739] [19] ioctl(fd=259, cmd=0xc0100920, arg=0xb655e000) = -1 (Invalid argument)
